price,Наличие,Поколение,Год выпуска,Пробег,Кузов,Цвет,Двигатель,Комплектация,Налог,Коробка,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Обмен,Владение,Запас хода,VIN,Госномер,Гарантия
2900000,Вналичии,I,2020,60000км,внедорожник5дв.,коричневый,1.4л/150л.с./Бензин,80опций,5215₽/год,роботизированная,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
4450000,Вналичии,IРестайлинг,2023,16059км,внедорожник5дв.,чёрный,2.0л/249л.с./Бензин,President6мест,18600₽/год,автоматическая,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,
3799000,Вналичии,IVРестайлинг,2021,73862км,внедорожник5дв.,серый,2.2л/199л.с./Дизель,35опций,9702₽/год,роботизированная,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,Дофевраля2027
1200000,Вналичии,I,2021,58186км,универсал5дв.,белый,1.6л/113л.с./Бензин,19опций,3808₽/год,вариатор,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
5894000,Назаказ,IРестайлинг,2025,1км,минивэн,чёрный,1.5л/571л.с./Гибрид,FlagshipQiankun,85650₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,184км,,,
8649000,Вналичии,IVРестайлинг,2021,65000км,внедорожник5дв.,синий,3.0л/340л.с./Бензин,VogueSE,45000₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
7500000,Назаказ,,2025,50км,седан,серебристый,2.0л/870л.с./Гибрид,Ultra,130500₽/год,вариатор,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,2месяца,201км,,,
4420000,Назаказ,IVРестайлинг,2020,34385км,внедорожник5дв.,белый,2.0л/238л.с./Бензин,Executive,17850₽/год,автоматическая,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,,,,
610000,Вналичии,IРестайлинг,2020,118920км,седан,серый,1.6л/87л.с./Бензин,13опций,1131₽/год,механическая,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1600000,Вналичии,I,2018,92700км,внедорожник5дв.,синий,1.4л/140л.с./Бензин,Longitude,4760₽/год,роботизированная,передний,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,,2месяца,,,,
650000,Вналичии,IРестайлинг,2011,104200км,хэтчбек5дв.,серый,1.6л/120л.с./Бензин,Allure,3360₽/год,автоматическая,передний,Левый,Нетребуетремонта,3илиболее,Дубликат,Растаможен,,,,Z8T**************,******|790,
949000,Вналичии,III,2007,177000км,внедорожник5дв.,синий,2.5л/174л.с./Дизель,XE,8700₽/год,механическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1550000,Вналичии,IIРестайлинг2,2012,179000км,внедорожник5дв.,золотистый,2.0л/140л.с./Бензин,26опций,4900₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,11лети9месяцев,,,,
1150000,Вналичии,IРестайлинг2,2011,195000км,компактвэн,белый,1.2л/105л.с./Бензин,1опция,3570₽/год,механическая,передний,Левый,Нетребуетремонта,3илиболее,Оригинал,Растаможен,,,,,******|777,
2587000,Вналичии,II,2017,141900км,внедорожник5дв.,белый,2.5л/194л.с./Бензин,Supreme(Пакет8),9700₽/год,автоматическая,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,
7500000,Назаказ,,2025,50км,седан,чёрный,2.0л/870л.с./Гибрид,Ultra,130500₽/год,вариатор,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,2месяца,201км,,,
3329000,Вналичии,,2023,278км,пикапдвойнаякабина,белый,2.3л/163л.с./Дизель,Luxury,,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
4600000,Вналичии,II,2024,3700км,внедорожник5дв.,чёрный,2.0л/218л.с./Бензин,Premium,15696₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1299000,Вналичии,IIIРестайлинг,2012,137000км,внедорожник5дв.,серый,2.5л/172л.с./Бензин,1опция,8600₽/год,автоматическая,полный,Левый,Нетребуетремонта,,,"Растаможен,нетПТС",Рассмотрюварианты,,,,,
4580000,Назаказ,VII(G30/G31)Рестайлинг,2022,32000км,седан,белый,2.0л/252л.с./Бензин,530ixDrive,37800₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,3месяца,,,,
6000000,Вналичии,I,2024,18816км,внедорожник5дв.,серый,1.5л/449л.с./Гибрид,78опций,67350₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,178км,,,Дофевраля2027
200000,Вналичии,II(C5),2000,500000км,универсал5дв.,синий,2.5л/150л.с./Дизель,49опций,5250₽/год,механическая,передний,Левый,Нетребуетремонта,3илиболее,Оригинал,Растаможен,,,,,,
3200000,Вналичии,II(958),2010,143000км,внедорожник5дв.,синий,3.0л/239л.с./Дизель,1опция,18000₽/год,автоматическая,полный,Левый,Нетребуетремонта,3илиболее,Оригинал,Растаможен,,,,,,
2306000,Вналичии,I,2015,131044км,универсал5дв.,белый,2.4л/190л.с./Дизель,42опции,9310₽/год,автоматическая,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,Дофевраля2027
1504000,Вналичии,III(D10),2018,79018км,внедорожник5дв.,серый,2.0л/143л.с./Бензин,19опций,5005₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
6500000,Вналичии,IРестайлинг,2024,99км,лифтбек,зелёный,789л.с./580кВт/Электро,You,0₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,705км,,,
1039000,Вналичии,,2014,110000км,хэтчбек5дв.,белый,1.6л/150л.с./Бензин,SoChic,3150₽/год,автоматическая,передний,Левый,Нетребуетремонта,3илиболее,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1659000,Вналичии,I,2019,22719км,хэтчбек5дв.,белый,2.0л/249л.с./Бензин,55опций,18675₽/год,механическая,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1297000,Вналичии,I,2016,108000км,внедорожник5дв.,чёрный,2.0л/217л.с./Бензин,Luxury,15624₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
380000,Вналичии,IV,2001,259000км,хэтчбек5дв.,чёрный,1.4л/75л.с./Бензин,16опций,975₽/год,механическая,передний,Левый,Нетребуетремонта,3илиболее,Дубликат,Растаможен,Рассмотрюварианты,,,WVW**************,******|69,
1680000,Вналичии,III,2020,56063км,универсал5дв.,белый,1.6л/128л.с./Бензин,Luxe,4445₽/год,автоматическая,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,,,,
1732000,Вналичии,IРестайлинг,2020,30914км,внедорожник5дв.,белый,1.8л/150л.с./Бензин,45опций,5215₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,Дофевраля2027
16275000,Вналичии,II(V167)Рестайлинг,2024,4000км,внедорожник5дв.,белый,3.0л/435л.с./Бензин,GLE534MATIC+,65250₽/год,автоматическая,полный,Левый,Нетребуетремонта,,,"Растаможен,нетПТС",Рассмотрюварианты,1год,,,,
3530000,Вналичии,I,2022,7155км,внедорожник5дв.,чёрный,2.0л/220л.с./Бензин,Premium,15840₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
6199000,Вналичии,,2024,55км,седан,серый,673л.с./495кВт/Электро,Max,0₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,800км,,,
3447000,Вналичии,I,2023,20025км,внедорожник5дв.,красный,2.0л/220л.с./Бензин,Adventure,15840₽/год,автоматическая,полный,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1830000,Вналичии,VIII(XV70),2019,540000км,седан,белый,2.5л/181л.с./Бензин,2опции,9050₽/год,автоматическая,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1730000,Вналичии,I,2017,119363км,внедорожник5дв.,серебристый,2.0л/150л.с./Бензин,28опций,5215₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
4200000,Вналичии,,2023,13000км,внедорожник5дв.,синий,313л.с./230кВт/Электро,Prime,0₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,,,560км,,,
3790000,Вналичии,"II(C118,X118)",2020,22100км,седан,белый,1.3л/150л.с./Бензин,CLA200Sport,5215₽/год,роботизированная,передний,Левый,Нетребуетремонта,2владельца,Оригинал,Растаможен,,,,,,
1600000,Вналичии,IРестайлинг,2022,47340км,универсал5дв.,серый,1.6л/106л.с./Бензин,18опций,3604₽/год,механическая,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
3950000,Назаказ,IV(JL),2020,94000км,внедорожник5дв.,чёрный,2.0л/272л.с./Бензин,Rubicon,40800₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
4097000,Вналичии,I(X253),2018,51900км,внедорожник5дв.,синий,2.0л/245л.с./Бензин,GLC3004MATICSport,18375₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
2697000,Вналичии,I,2018,81865км,универсал5дв.,коричневый,2.0л/245л.с./Бензин,Summum,18375₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
6790000,Вналичии,,2024,100км,седан,серый,673л.с./495кВт/Электро,67опций,0₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,800км,,,
41500000,Назаказ,II(W465)Рестайлинг,2025,110км,внедорожник5дв.,чёрный,4.0л/800л.с./Бензин,Superblack,120000₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,2месяца,,,,
2499000,Вналичии,I,2015,121403км,внедорожник5дв.,серый,2.0л/150л.с./Бензин,Executive,5250₽/год,вариатор,полный,Левый,Нетребуетремонта,3илиболее,Оригинал,Растаможен,,2года,,,,
8380000,Назаказ,II(C167),2022,38000км,внедорожник5дв.,белый,2.9л/330л.с./Дизель,GLE400d4MATIC,49500₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,3месяца,,,,
1466000,Вналичии,IV,2019,82997км,седан,синий,1.6л/123л.с./Бензин,14опций,4182₽/год,автоматическая,передний,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
1049000,Вналичии,II,2011,147000км,внедорожник5дв.,серый,3.0л/269л.с./Бензин,Base,39750₽/год,автоматическая,полный,Левый,Нетребуетремонта,1владелец,Оригинал,Растаможен,Рассмотрюварианты,,,,,
